countrycode,period,group,emp,emp_ref,index,n
ECU,2021Q3,3.0,1547136.4714385334,1574126.5597253859,98.28539273922415,
ECU,2021Q3,4.0,1217161.99792391,1251989.100059634,97.21825835911308,
ECU,2021Q3,5.0,1326529.6958076935,1266873.2586642061,104.70895069696154,
ECU,2021Q4,1.0,2012290.3920561315,2118817.595746924,94.97232777825597,
ECU,2021Q4,2.0,1944840.6997994303,1925415.4601389077,101.00888561781473,
ECU,2021Q4,3.0,1620732.7232285715,1574126.5597253859,102.96076342878786,
ECU,2021Q4,4.0,1214493.709498199,1251989.100059634,97.00513442492037,
ECU,2021Q4,5.0,1291544.435645568,1266873.2586642061,101.94740687852035,
ECU,2022Q1,1.0,2077054.6763150496,2118817.595746924,98.02895164191081,
ECU,2022Q1,2.0,1909138.7029272635,1925415.4601389077,99.15463662006381,
ECU,2022Q1,3.0,1550705.231037154,1574126.5597253859,98.51210637775418,
ECU,2022Q1,4.0,1212108.5396875825,1251989.100059634,96.81462399551626,
ECU,2022Q1,5.0,1234243.680660527,1266873.2586642061,97.42440076143971,
ECU,2022Q2,1.0,2127060.7799539324,2118817.595746924,100.38904642964806,
ECU,2022Q2,2.0,1950543.976086129,1925415.4601389077,101.30509578153114,
ECU,2022Q2,3.0,1537823.1629998954,1574126.5597253859,97.69374346038455,
ECU,2022Q2,4.0,1251885.3415547279,1251989.100059634,99.99171250732924,
ECU,2022Q2,5.0,1291253.6236838067,1266873.2586642061,101.92445178338576,
ECU,2022Q3,1.0,2117215.743138322,2118817.595746924,99.92439874900901,
ECU,2022Q3,2.0,1944015.4111012346,1925415.4601389077,100.96602272846532,
ECU,2022Q3,3.0,1597047.6540542284,1574126.5597253859,101.45611508726726,
ECU,2022Q3,4.0,1285651.5482600546,1251989.100059634,102.68871735375468,
ECU,2022Q3,5.0,1315544.2849159485,1266873.2586642061,103.84182284367272,
ECU,2022Q4,1.0,2153939.1835803916,2118817.595746924,101.65760317943209,
ECU,2022Q4,2.0,1897963.7504410036,1925415.4601389077,98.57424486993972,
ECU,2022Q4,3.0,1610930.1908102655,1574126.5597253859,102.33803507459402,
ECU,2022Q4,4.0,1258310.970736171,1251989.100059634,100.50494614339978,
ECU,2022Q4,5.0,1226451.445396542,1266873.2586642061,96.8093246115018,
ECU,2023Q1,1.0,2155066.3417826393,2118817.595746924,101.71080068942588,
ECU,2023Q1,2.0,1951216.5780842083,1925415.4601389077,101.34002860574513,
ECU,2023Q1,3.0,1567437.8393031142,1574126.5597253859,99.57508369444966,
ECU,2023Q1,4.0,1274389.6906506643,1251989.100059634,101.78920012881608,
ECU,2023Q1,5.0,1207114.3342047478,1266873.2586642061,95.28295951858134,
ECU,2023Q2,1.0,2114991.178521528,2118817.595746924,99.81940789839216,
ECU,2023Q2,2.0,1819952.4998468081,1925415.4601389077,94.52258681435481,
ECU,2023Q2,3.0,1636370.3093651636,1574126.5597253859,103.95417695325821,
ECU,2023Q2,4.0,1260039.662437528,1251989.100059634,100.64302176253055,
ECU,2023Q2,5.0,1198350.6190645476,1266873.2586642061,94.59120009590312,
ECU,2023Q3,1.0,2117900.370353948,2118817.595746924,99.95671050708577,
ECU,2023Q3,2.0,1871584.2227901998,1925415.4601389077,97.2041754902693,
ECU,2023Q3,3.0,1711311.6817950085,1574126.5597253859,108.71499951652905,
ECU,2023Q3,4.0,1310429.0941757122,1251989.100059634,104.66777179715818,
ECU,2023Q3,5.0,1217214.449417503,1266873.2586642061,96.0802070051535,
ECU,2023Q4,1.0,2097854.6061814753,2118817.595746924,99.01062792722094,
ECU,2023Q4,2.0,1974791.9925422051,1925415.4601389077,102.56446119944083,
ECU,2023Q4,3.0,1689107.5524875468,1574126.5597253859,107.30443127661984,
ECU,2023Q4,4.0,1255787.22083135,1251989.100059634,100.30336692001032,
ECU,2023Q4,5.0,1187780.3056234175,1266873.2586642061,93.75683774995895,
ECU,2024Q1,1.0,2125729.8605340617,2118817.595746924,100.32623217784355,
ECU,2024Q1,2.0,1966536.7648157957,1925415.4601389077,102.1357107350702,
ECU,2024Q1,3.0,1618435.1557916685,1574126.5597253859,102.81480518783779,
ECU,2024Q1,4.0,1226155.763637546,1251989.100059634,97.93661650721579,
ECU,2024Q1,5.0,1181352.385179069,1266873.2586642061,93.24945310035902,
ECU,2024Q2,1.0,2097877.399497095,2118817.595746924,99.01170368360816,
ECU,2024Q2,2.0,1972534.256778636,1925415.4601389077,102.44720153209578,
ECU,2024Q2,3.0,1639034.861075117,1574126.5597253859,104.12344871184021,
ECU,2024Q2,4.0,1315915.9786398923,1251989.100059634,105.10602517044384,
ECU,2024Q2,5.0,1204018.4435683726,1266873.2586642061,95.03858695682725,
ECU,2024Q3,1.0,2213245.0883844234,2118817.595746924,104.45661263277415,
ECU,2024Q3,2.0,1913771.905858497,1925415.4601389077,99.39527055217627,
ECU,2024Q3,3.0,1716430.4245641583,1574126.5597253859,109.04017939088698,
ECU,2024Q3,4.0,1285035.6771585944,1251989.100059634,102.63952594294841,
ECU,2024Q3,5.0,1168207.2766813342,1266873.2586642061,92.21185060872581,
ECU,2024Q4,1.0,2139682.5789715876,2118817.595746924,100.98474655234814,
ECU,2024Q4,2.0,2000785.4330102652,1925415.4601389077,103.91447842980963,
ECU,2024Q4,3.0,1650123.56918937,1574126.5597253859,104.82788432699097,
ECU,2024Q4,4.0,1276437.8475650204,1251989.100059634,101.95279236090968,
ECU,2024Q4,5.0,1135377.7209818126,1266873.2586642061,89.62046623187527,
ECU,2025Q1,1.0,2197253.8239313103,2118817.595746924,103.70188676655461,
ECU,2025Q1,2.0,1879393.5544878044,1925415.4601389077,97.60976752270479,
ECU,2025Q1,3.0,1608171.5256157233,1574126.5597253859,102.1627845410522,
ECU,2025Q1,4.0,1278188.3179065855,1251989.100059634,102.0926075031886,
ECU,2025Q1,5.0,1188308.4289301606,1266873.2586642061,93.79852489609857,
ECU,2025Q2,1.0,2070393.0416058612,2118817.595746924,97.7145482349087,
ECU,2025Q2,2.0,2078775.2882366867,1925415.4601389077,107.9650252775427,
ECU,2025Q2,3.0,1647336.9330282998,1574126.5597253859,104.65085687364845,
ECU,2025Q2,4.0,1296534.2383763853,1251989.100059634,103.55794937149449,
ECU,2025Q2,5.0,1205903.422794849,1266873.2586642061,95.18737683881307,
ECU,2025Q3,1.0,2071675.0042112547,2118817.595746924,97.77505191431777,
ECU,2025Q3,2.0,2120881.478888255,1925415.4601389077,110.15188788061594,
ECU,2025Q3,3.0,1706925.2096234213,1574126.5597253859,108.4363388113598,
ECU,2025Q3,4.0,1321038.6239459615,1251989.100059634,105.51518570593294,
ECU,2025Q3,5.0,1196459.1690584805,1266873.2586642061,94.44189944620267,
ECU,2025Q4,1.0,2165416.98630305,2118817.595746924,102.19931109925008,
ECU,2025Q4,2.0,1952525.1411685757,1925415.4601389077,101.40799124089885,
ECU,2025Q4,3.0,1830612.741030761,1574126.5597253859,116.29387292405005,
ECU,2025Q4,4.0,1267613.042014903,1251989.100059634,101.24792955102602,
ECU,2025Q4,5.0,1125520.1644150803,1266873.2586642061,88.84236498936218,
ECU,2026Q1,1.0,2134004.3507093377,2118817.595746924,100.71675612817722,
ECU,2026Q1,2.0,1979095.9251721604,1925415.4601389077,102.78799387169042,
ECU,2026Q1,3.0,1680391.9062909023,1574126.5597253859,106.75074986245419,
ECU,2026Q1,4.0,1344202.3597531025,1251989.100059634,107.36534045616501,
ECU,2026Q1,5.0,1159726.8703599279,1266873.2586642061,91.54245402438649,
GEO,2021Q1,1.0,86861.00189850882,122110.38189755863,71.1331833941676,
GEO,2021Q1,2.0,176391.83805249602,222022.85497599788,79.4476037485263,
GEO,2021Q1,3.0,329242.50398621557,355226.2613499736,92.68529379978511,
GEO,2021Q1,4.0,310247.6673398668,333770.08064518345,92.95250992544106,
GEO,2021Q1,5.0,216541.03690651915,239581.98948919834,90.38285280466877,
GEO,2021Q2,1.0,92328.26359869649,122110.38189755863,75.61049450828261,
GEO,2021Q2,2.0,217901.74508809313,222022.85497599788,98.1438352874301,
GEO,2021Q2,3.0,337074.62261697283,355226.2613499736,94.89011914152441,
GEO,2021Q2,4.0,316850.2931675891,333770.08064518345,94.9307057586204,
GEO,2021Q2,5.0,239729.8742429436,239581.98948919834,100.06172615648637,
GEO,2021Q3,1.0,111346.9190955056,122110.38189755863,91.18546463061365,
GEO,2021Q3,2.0,230487.35192638173,222022.85497599788,103.81244397172486,
GEO,2021Q3,3.0,357060.74514211854,355226.2613499736,100.51642685007953,
GEO,2021Q3,4.0,324730.63211192464,333770.08064518345,97.29171394997856,
GEO,2021Q3,5.0,248775.45678917755,239581.98948919834,103.83729483154396,
GEO,2021Q4,1.0,100530.92350827578,122110.38189755863,82.32790852510281,
GEO,2021Q4,2.0,223537.7567299524,222022.85497599788,100.68231793259226,
GEO,2021Q4,3.0,343708.0618415298,355226.2613499736,96.75750338258466,
GEO,2021Q4,4.0,326149.23018532904,333770.08064518345,97.71673648964486,
GEO,2021Q4,5.0,238768.97445119615,239581.98948919834,99.66065268940476,
GEO,2022Q1,1.0,94805.39916983302,122110.38189755863,77.63909808206773,
GEO,2022Q1,2.0,210377.9558800713,222022.85497599788,94.75508992207786,
GEO,2022Q1,3.0,336015.47313548165,355226.2613499736,94.59195721017787,
GEO,2022Q1,4.0,313457.88693678327,333770.08064518345,93.91431560637899,
GEO,2022Q1,5.0,236919.63186105297,239581.98948919834,98.88874884384187,
GEO,2022Q2,1.0,115539.04502925952,122110.38189755863,94.61852729785745,
GEO,2022Q2,2.0,218760.97567405077,222022.85497599788,98.53083625003393,
GEO,2022Q2,3.0,349055.3044938558,355226.2613499736,98.262809502691,
GEO,2022Q2,4.0,338047.9200107024,333770.08064518345,101.28167250858729,
GEO,2022Q2,5.0,237101.09627005042,239581.98948919834,98.96449093505011,
GEO,2022Q3,1.0,146741.21358135712,122110.38189755863,120.1709562291451,
GEO,2022Q3,2.0,231448.2682883803,222022.85497599788,104.24524462285711,
GEO,2022Q3,3.0,379800.9432064892,355226.2613499736,106.91803634199903,
GEO,2022Q3,4.0,344339.7468353478,333770.08064518345,103.16675064755145,
GEO,2022Q3,5.0,243652.05384285253,239581.98948919834,101.69881899817753,
GEO,2022Q4,1.0,131355.8698097849,122110.38189755863,107.57141839092971,
GEO,2022Q4,2.0,227504.22006148918,222022.85497599788,102.46882920503111,
GEO,2022Q4,3.0,356033.3245640678,355226.2613499736,100.22719694513212,
GEO,2022Q4,4.0,339234.76879790035,333770.08064518345,101.63726123748228,
GEO,2022Q4,5.0,240655.17598283748,239581.98948919834,100.44794122293051,
GEO,2023Q1,1.0,130875.0303574526,122110.38189755863,107.17764396744485,
GEO,2023Q1,2.0,214416.31849526882,222022.85497599788,96.57398492531259,
GEO,2023Q1,3.0,345528.8375576371,355226.2613499736,97.27007126233201,
GEO,2023Q1,4.0,326584.0908957104,333770.08064518345,97.84702399460659,
GEO,2023Q1,5.0,244986.85865133957,239581.98948919834,102.25595804328393,
GEO,2023Q2,1.0,150388.03959106855,122110.38189755863,123.15745578228781,
GEO,2023Q2,2.0,213463.89851184253,222022.85497599788,96.14501107776466,
GEO,2023Q2,3.0,358401.44806479645,355226.2613499736,100.893849092901,
GEO,2023Q2,4.0,338526.0660226208,333770.08064518345,101.42492861200859,
GEO,2023Q2,5.0,257590.2845170643,239581.98948919834,107.51654791174438,
GEO,2023Q3,1.0,158693.83749033036,122110.38189755863,129.95933271542995,
GEO,2023Q3,2.0,224446.5834064049,222022.85497599788,101.09165717676636,
GEO,2023Q3,3.0,364506.3607551467,355226.2613499736,102.6124474496637,
GEO,2023Q3,4.0,343667.4646034559,333770.08064518345,102.96532988790985,
GEO,2023Q3,5.0,263639.7880358103,239581.98948919834,110.04157223917561,
GEO,2023Q4,1.0,148897.3490367751,122110.38189755863,121.9366827971177,
GEO,2023Q4,2.0,226024.46567498447,222022.85497599788,101.80234179018154,
GEO,2023Q4,3.0,350617.2106247964,355226.2613499736,98.70250281956594,
GEO,2023Q4,4.0,365055.7380613945,333770.08064518345,109.37341578242582,
GEO,2023Q4,5.0,268476.441855786,239581.98948919834,112.06036080933805,
GEO,2024Q1,1.0,161943.05973895738,122110.38189755863,132.62022214852735,
GEO,2024Q1,2.0,250768.01695059988,222022.85497599788,112.94693826800378,
GEO,2024Q1,3.0,342026.74522170983,355226.2613499736,96.28419473320993,
GEO,2024Q1,4.0,361670.70238811104,333770.08064518345,108.35923390406809,
GEO,2024Q1,5.0,273493.8484177342,239581.98948919834,114.15459442541477,
GEO,2024Q2,1.0,165343.7923269105,122110.38189755863,135.4051881236613,
GEO,2024Q2,2.0,241123.00524788382,222022.85497599788,108.6027856339163,
GEO,2024Q2,3.0,345558.34882258595,355226.2613499736,97.2783789997264,
GEO,2024Q2,4.0,353329.47257619747,333770.08064518345,105.86013937894174,
GEO,2024Q2,5.0,273107.74846548995,239581.98948919834,113.99343875880248,
GEO,2024Q3,1.0,169250.5747917238,122110.38189755863,138.60457412516504,
GEO,2024Q3,2.0,229705.1470235247,222022.85497599788,103.46013569114646,
GEO,2024Q3,3.0,358459.6829180369,355226.2613499736,100.91024282826817,
GEO,2024Q3,4.0,357088.77708681504,333770.08064518345,106.98645498618573,
GEO,2024Q3,5.0,283984.55299543403,239581.98948919834,118.53334785344438,
GEO,2024Q4,1.0,153215.53465413075,122110.38189755863,125.47297967069416,
GEO,2024Q4,2.0,239925.7931683788,222022.85497599788,108.06355642724996,
GEO,2024Q4,3.0,355870.7366338678,355226.2613499736,100.18142670011078,
